"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"518",70947.7040209144,60265.6294328265,81629.7786090022,54610.8807235033,87284.5273183255
"519",70947.7040167031,60230.2881853403,81665.1198480659,54556.830951924,87338.5770814822
"520",70947.7040193195,60195.0631018329,81700.344936806,54502.9588342051,87392.4492044339
"521",70947.7040185252,60159.9530342389,81735.4550028114,54449.2626199518,87446.1454170985
"522",70947.7040177564,60124.956866692,81770.4511688208,54395.7406007748,87499.667434738
"523",70947.7040195235,60090.0735001645,81805.3345388825,54342.3910945276,87553.0169445194
"524",70947.7040174202,60055.3018447145,81840.1061901258,54289.212437679,87606.1955971613
"525",70947.7040192805,60020.6408415357,81874.7671970253,54236.2030067773,87659.2050317836
"526",70947.7040180431,59986.0894340393,81909.3186020469,54183.3611896477,87712.0468464384
"527",70947.704018518,59951.6465938783,81943.7614431576,54130.6854110228,87764.7226260131
"528",70947.7040187309,59917.3113020446,81978.0967354171,54078.1741135094,87817.2339239523
"529",70947.704018049,59883.0825567518,82012.3254793462,54025.8257653423,87869.5822707558
"530",70947.7040189238,59848.9593745896,82046.448663258,53973.6388612275,87921.7691766201
"531",70947.70401811,59814.9407817062,82080.4672545139,53921.611913505,87973.796122715
"532",70947.7040186855,59781.0258252456,82114.3822121254,53869.7434632783,88025.6645740927
"533",70947.7040184258,59747.2135615819,82148.1944752698,53818.0320685735,88077.3759682782
"534",70947.7040183858,59713.5030645293,82181.9049722423,53766.4763123532,88128.9317244183
"535",70947.7040186426,59679.8934207596,82215.5146165257,53715.0747977617,88180.3332395236
"536",70947.7040182828,59646.3837295939,82249.0243069717,53663.8261478132,88231.5818887524
"537",70947.7040186354,59612.9731058351,82282.4349314356,53612.7290080117,88282.679029259
"538",70947.7040183715,59579.660674705,82315.7473620381,53561.7820412029,88333.6259955402
"539",70947.704018506,59546.4455765004,82348.9624605117,53510.9839320472,88384.4241049649
"540",70947.704018501,59513.3269624735,82382.0810745284,53460.3333827816,88435.0746542204
"541",70947.7040184072,59480.3039967255,82415.1040400888,53409.8291149819,88485.5789218324
"542",70947.7040185534,59447.3758556147,82448.0321814922,53359.4698688234,88535.9381682835
"543",70947.7040184021,59414.5417264213,82480.8663103828,53309.2544016426,88586.1536351616
"544",70947.7040185215,59381.8008090384,82513.6072280047,53259.1814894807,88636.2265475623
"545",70947.7040184544,59349.1523136477,82546.2557232611,53209.2499246572,88686.1581122515
"546",70947.7040184662,59316.5954622282,82578.8125747041,53159.4585171511,88735.9495197812
"547",70947.7040184989,59284.1294872943,82611.2785497036,53109.806093225,88785.6019437729
"548",70947.7040184403,59251.7536319658,82643.6544049147,53060.2914953899,88835.1165414906
"549",70947.7040185046,59219.4671501243,82675.940886885,53010.9135824429,88884.4944545664
"550",70947.7040184512,59187.26930545,82708.1387314524,52961.6712284075,88933.7368084948
"551",70947.7040184838,59155.1593721106,82740.2486648569,52912.5633231111,88982.8447138565
"552",70947.7040184746,59123.1366338025,82772.2714031468,52863.5887711293,89031.81926582
"553",70947.7040184639,59091.2003840623,82804.2076528655,52814.7464919985,89080.6615449293
"554",70947.7040184871,59059.3499259084,82836.0581110658,52766.0354197586,89129.3726172156
"555",70947.70401846,59027.5845715559,82867.8234653641,52717.4545025777,89177.9535343422
"556",70947.7040184837,58995.9036425399,82899.5043944274,52669.0027027802,89226.4053341871
"557",70947.7040184682,58964.3064691774,82931.1015677589,52620.6789962215,89274.7290407149
"558",70947.7040184738,58932.7923907387,82962.6156462089,52572.4823723709,89322.9256645768
"559",70947.7040184769,58901.3607550534,82994.0472819004,52524.4118338324,89370.9962031214
"560",70947.7040184679,58870.0109184524,83025.3971184835,52476.4663962042,89418.9416407316
"561",70947.7040184792,58838.7422456389,83056.6657913196,52428.6450878666,89466.7629490918
"562",70947.7040184689,58807.5541094255,83087.8539275122,52380.9469496414,89514.4610872963
"563",70947.7040184761,58776.4458907399,83118.9621462123,52333.3710347182,89562.037002234
"564",70947.704018473,58745.4169783347,83149.9910586112,52285.9164082899,89609.491628656
"565",70947.7040184723,58714.4667687552,83180.9412681893,52238.5821474454,89656.8258894991
"566",70947.7040184757,58683.5946661498,83211.8133708016,52191.3673409072,89704.0406960442
"567",70947.704018471,58652.8000821344,83242.6079548076,52144.271088826,89751.136948116
"568",70947.7040184755,58622.0824357039,83273.3256012472,52097.2925026221,89798.115534329
"569",70947.7040184722,58591.4411530413,83303.966883903,52050.4307047272,89844.9773322172
"570",70947.7040184738,58560.8756674566,83334.5323694911,52003.6848284566,89891.723208491
"571",70947.7040184738,58530.3854192147,83365.0226177329,51957.0540177735,89938.3540191742
"572",70947.7040184726,58499.9698554434,83395.4381815018,51910.5374271319,89984.8706098133
"573",70947.7040184745,58469.6284300119,83425.7796069371,51864.134221295,90031.273815654
"574",70947.7040184726,58439.3606034026,83456.0474335426,51817.8435751452,90077.5644617999
"575",70947.7040184741,58409.1658426234,83486.2421943248,51771.6646735378,90123.7433634103
"576",70947.7040184732,58379.0436210719,83516.3644158746,51725.596711107,90169.8113258395
"577",70947.7040184734,58348.9934184499,83546.4146184969,51679.6388921234,90215.7691448233
"578",70947.7040184738,58319.0147206454,83576.3933163022,51633.7904303213,90261.6176066264
"579",70947.704018473,58289.1070196337,83606.3010173124,51588.0505487442,90307.3574882019
"580",70947.7040184739,58259.2698133812,83636.1382235665,51542.418479597,90352.9895573508
"581",70947.7040184732,58229.5026057378,83665.9054312086,51496.8934640849,90398.5145728615
"582",70947.7040184736,58199.8049063515,83695.6031305957,51451.4747522779,90443.9332846693
"583",70947.7040184735,58170.1762305646,83725.2318063824,51406.1616029571,90489.2464339899
"584",70947.7040184733,58140.6160993278,83754.7919376189,51360.9532834794,90534.4547534673
