"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"431",101912.17114492,88635.7428138328,115188.599476006,81607.6261918654,122216.716097974
"432",102110.064093517,88723.1249519826,115497.003235052,81636.5074407364,122583.620746298
"433",102307.881690739,88811.3386960163,115804.424685462,81666.7004096629,122949.062971816
"434",102505.763162056,88900.4974734778,116111.028850633,81698.3048695918,123313.22145452
"435",102703.590488376,88990.4655687574,116416.715407995,81731.1757369417,123676.005239811
"436",102901.463712499,89081.3200642687,116721.60736073,81765.3779396328,124037.549485366
"437",103099.298029827,89172.9590866065,117025.636973047,81800.8005685793,124397.795491075
"438",103297.165327791,89265.4338855975,117328.896769984,81837.4839487195,124756.846706862
"439",103495.004668624,89358.6672017416,117631.342135506,81875.3421803499,125114.667156898
"440",103692.867708247,89452.6919841217,117933.043432372,81914.3983097516,125471.337106742
"441",103890.710658804,89547.4489271749,118233.972390433,81954.5848167836,125826.836500824
"442",104088.570638524,89642.9580707285,118534.18320632,81995.9127005136,126181.228576535
"443",104286.416182909,89739.1732526102,118833.659113209,82038.3280182907,126534.504347528
"444",104484.273963886,89836.1054584631,119132.442469308,82081.8334519413,126886.71447583
"445",104682.121372109,89933.7181910732,119430.524553145,82126.3851524568,127237.857591761
"446",104879.977573141,90032.0161345175,119727.939011764,82171.9801378802,127587.975008401
"447",105077.826320657,90130.9699379514,120024.682703362,82218.582120252,127937.070521062
"448",105275.681386393,90230.5799458218,120320.782826963,82266.1843360421,128285.178436743
"449",105473.53109628,90330.8221269783,120616.240065581,82314.7562126565,128632.305979903
"450",105671.38534623,90431.6938814261,120911.076811033,82364.2885351666,128978.482157293
"451",105869.235747645,90533.1751700874,121205.296325202,82414.7550971033,129323.716398186
"452",106067.089411398,90635.2614377719,121498.917385025,82466.1451676352,129668.033655161
"453",106264.940309722,90737.935670051,121791.944949394,82518.4359163468,130011.444703098
"454",106462.793552254,90841.1920552836,122084.395049225,82571.6157502214,130353.971354287
"455",106660.644807641,90945.0158964706,122376.273718811,82625.6644850188,130695.625130263
"456",106858.497747497,91049.400616606,122667.594878388,82680.5701184401,131036.425376554
"457",107056.349259457,91154.3333170708,122958.365201842,82736.3145713377,131376.383947575
"458",107254.20198182,91259.8069983466,123248.596965294,82792.8857422395,131715.518221401
"459",107452.053678145,91365.8101774058,123538.297178883,82850.2672532719,132053.840103017
"460",107649.906244225,91472.3356694427,123827.476819007,82908.4471126496,132391.365375801
"461",107847.758073028,91579.3731230649,124116.143022991,82967.4103399961,132728.10580606
"462",108045.610526809,91686.9153303067,124404.305723311,83027.1451905447,133064.075863073
"463",108243.462450806,91794.9528592858,124691.972042327,83087.63785077,133399.287050843
"464",108441.314823892,91903.4785877623,124979.151060022,83148.8769099627,133733.752737822
"465",108639.166816293,92012.483843578,125265.849789009,83210.8495444564,134067.48408813
"466",108837.019131395,92121.9616614983,125552.076601291,83273.5447294948,134400.493533295
"467",109034.871172949,92231.9040075539,125837.838338343,83336.9504938165,134732.791852081
"468",109232.723446384,92342.3041183595,126123.142774408,83401.0562261584,135064.390666609
"469",109430.575523257,92453.1545046611,126407.996541853,83465.8506994994,135395.300347015
"470",109628.427766753,92564.4486313009,126692.406902205,83531.3237269195,135725.531806586
