"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"426",92585.6856692007,87577.6546510961,97593.7166873052,84926.5631704714,100244.80816793
"427",92966.1719358108,87845.8319718104,98086.5118998112,85135.2877264992,100797.056145122
"428",93346.6582024117,88112.927976554,98580.3884282693,85342.3585524631,101350.95785236
"429",93727.1444690064,88378.9574266383,99075.3315113745,85547.7982238392,101906.490714174
"430",94107.6307355971,88643.934476861,99571.3269943332,85751.6283885215,102463.633082673
"431",94488.1170021852,88907.8727108251,100068.361293545,85953.8698208374,103022.364183533
"432",94868.6032687715,89170.7851739025,100566.42136364,86154.5424719606,103582.664065582
"433",95249.0895353567,89432.6844039996,101065.494666714,86353.6655169643,104144.513553749
"434",95629.5758019411,89693.5824602749,101565.569143607,86551.2573987395,104707.894205143
"435",96010.062068525,89953.4909499491,102066.633187101,86747.3358689985,105272.788268052
"436",96390.5483351086,90212.4210533407,102568.675616877,86941.9180265624,105839.178643655
"437",96771.034601692,90470.3835472499,103071.685656134,87135.0203531252,106407.048850259
"438",97151.5208682753,90727.38882681,103575.652909741,87326.6587466711,106976.382989879
"439",97532.0071348585,90983.4469259117,104080.567343805,87516.8485527116,107547.165717005
"440",97912.4934014416,91238.567536303,104586.41926658,87705.6045934964,108119.382209387
"441",98292.9796680247,91492.7600254591,105093.19931059,87892.9411953422,108693.018140707
"442",98673.4659346077,91746.0334533078,105600.898415908,88078.8722142131,109268.059655002
"443",99053.9522011908,91998.3965878935,106109.507814488,88263.4110596757,109844.493342706
"444",99434.4384677738,92249.8579200536,106619.019015494,88446.5707173453,110422.306218202
"445",99814.9247343568,92500.4256771776,107129.423791536,88628.3637699283,111001.485698785
"446",100195.41100094,92750.1078361129,107640.714165767,88808.80241696,111582.01958492
"447",100575.897267523,92998.9121352781,108152.882399768,88987.8984933305,112163.896041715
"448",100956.383534106,93246.8460860378,108665.920982174,89165.6634866804,112747.103581531
"449",101336.869800689,93493.916983391,109179.822617987,89342.108553748,113331.63104763
"450",101717.356067272,93740.1319160204,109694.580218524,89517.244535738,113917.467598806
"451",102097.842333855,93985.4977757465,110210.186891964,89691.0819727801,114504.60269493
"452",102478.328600438,94230.0212664265,110726.63593445,89863.6311175395,115093.026083337
"453",102858.814867021,94473.708912337,111243.920821705,90034.9019480359,115682.727786006
"454",103239.301133604,94716.5670660738,111762.035201134,90204.9041797262,116273.698087482
"455",103619.787400187,94958.6019160019,112280.972884372,90373.6472768981,116865.927523476
"456",104000.27366677,95199.8194932859,112800.727840254,90541.1404634219,117459.406870118
"457",104380.759933353,95440.2256785277,113321.294188179,90707.3927329018,118054.127133805
"458",104761.246199936,95679.8262080375,113842.666191835,90872.4128582675,118650.079541605
"459",105141.732466519,95918.6266797625,114364.838253276,91036.2094008404,119247.255532198
"460",105522.218733102,96156.6325588944,114887.80490731,91198.7907189099,119845.646747295
"461",105902.704999685,96393.8491831772,115411.560816193,91360.1649758509,120445.24502352
