"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"399",12516.8958933485,11411.8594019265,13621.9323847705,10826.8884188,14206.903367897
"400",12531.8670908051,11408.3378484228,13655.3963331875,10813.5773942753,14250.1567873349
"401",12546.8382882618,11405.1157871249,13688.5607893986,10800.7244035534,14292.9521729701
"402",12561.8094857184,11402.1791218886,13721.4398495482,10788.3078884419,14335.3110829948
"403",12576.780683175,11399.5148288201,13754.0465375299,10776.3079306145,14377.2534357355
"404",12591.7518806316,11397.1108454483,13786.3929158149,10764.7060821132,14418.79767915
"405",12606.7230780882,11394.9559742033,13818.4901819732,10753.4852177329,14459.9609384436
"406",12621.6942755448,11393.0397980079,13850.3487530818,10742.6294059288,14500.7591451609
"407",12636.6654730015,11391.3526061742,13881.9783398287,10732.1237954853,14541.2071505176
"408",12651.6366704581,11389.8853291077,13913.3880118084,10721.9545156546,14581.3188252615
"409",12666.6078679147,11388.6294805727,13944.5862552567,10712.1085878592,14621.1071479702
"410",12681.5790653713,11387.5771064751,13975.5810242675,10702.5738473619,14660.5842833807
"411",12696.5502628279,11386.7207392863,14006.3797863695,10693.3388735634,14699.7616520925
"412",12711.5214602845,11386.0533573658,14036.9895632033,10684.3929277909,14738.6499927782
"413",12726.4926577412,11385.568348554,14067.4169669283,10675.7258976193,14777.259417863
"414",12741.4638551978,11385.2594775014,14097.6682328942,10667.3282469042,14815.5994634914
"415",12756.4350526544,11385.1208562731,14127.7492490356,10659.1909708265,14853.6791344823
"416",12771.406250111,11385.1469178392,14157.6655823828,10651.3055553484,14891.5069448737
"417",12786.3774475676,11385.3323921092,14187.4225030261,10643.6639405621,14929.0909545731
"418",12801.3486450242,11385.6722842205,14217.025005828,10636.2584874847,14966.4388025638
"419",12816.3198424809,11386.1618548262,14246.4778301355,10629.0819479103,15003.5577370514
"420",12831.2910399375,11386.7966021613,14275.7854777136,10622.1274369836,15040.4546428914
"421",12846.2622373941,11387.572245696,14304.9522290922,10615.3884081991,15077.1360665891
"422",12861.2334348507,11388.484711207,14333.9821584944,10608.8586305702,15113.6082391312
"423",12876.2046323073,11389.5301171198,14362.8791474948,10602.5321677407,15149.877096874
"424",12891.1758297639,11390.7047619916,14391.6468975363,10596.4033588424,15185.9483006855
"425",12906.1470272206,11392.005113021,14420.2889414201,10590.466800922,15221.8272535191
"426",12921.1182246772,11393.4277954836,14448.8086538708,10584.7173327836,15257.5191165707
"427",12936.0894221338,11394.9695830026,14477.2092612649,10579.1500201101,15293.0288241575
"428",12951.0606195904,11396.6273885774,14505.4938506034,10573.7601417411,15328.3610974397
"429",12966.031817047,11398.3982562965,14533.6653777976,10568.5431770003,15363.5204570938
"430",12981.0030145036,11400.2793536744,14561.7266753328,10563.4947939749,15398.5112350324
"431",12995.9742119603,11402.2679645548,14589.6804593657,10558.6108386622,15433.3375852583
"432",13010.9454094169,11404.3614825294,14617.5293363043,10553.8873249049,15468.0034939288
"433",13025.9166068735,11406.5574048287,14645.2758089182,10549.3204250472,15502.5127886998
"434",13040.8878043301,11408.8533266425,14672.9222820177,10544.9064612493,15536.8691474109
"435",13055.8590017867,11411.2469358347,14700.4710677387,10540.6418974043,15571.0761061692
"436",13070.8301992433,11413.7360080192,14727.9243904675,10536.523331607,15605.1370668797
"437",13085.8013967,11416.318401967,14755.2843914329,10532.5474891303,15639.0553042696
"438",13100.7725941566,11418.9920553179,14782.5531329953,10528.7112158667,15672.8339724464
"439",13115.7437916132,11421.7549805727,14809.7326026537,10525.0114721982,15706.4761110281
"440",13130.7149890698,11424.6052613429,14836.8247167967,10521.4453272617,15739.9846508779
"441",13145.6861865264,11427.5410488392,14863.8313242136,10518.0099535779,15773.362419475
"442",13160.657383983,11430.5605585793,14890.7542093868,10514.7026220165,15806.6121459496
"443",13175.6285814397,11433.6620672994,14917.5950955799,10511.520697073,15839.7364658063
"444",13190.5997788963,11436.8439100536,14944.3556477389,10508.4616324327,15872.7379253599
"445",13205.5709763529,11440.1044774881,14971.0374752177,10505.5229668009,15905.6189859049
"446",13220.5421738095,11443.4422132761,14997.6421343429,10502.7023199813,15938.3820276377
"447",13235.5133712661,11446.855611704,15024.1711308282,10499.9973891839,15971.0293533484
"448",13250.4845687227,11450.3432153964,15050.6259220491,10497.405945545,16003.5631919005
"449",13265.4557661794,11453.9036131709,15077.0079191878,10494.9258308477,16035.985701511
"450",13280.426963636,11457.5354380143,15103.3184892577,10492.5549544254,16068.2989728465
"451",13295.3981610926,11461.2373651706,15129.5589570146,10490.2912902389,16100.5050319463
"452",13310.3693585492,11465.0081103349,15155.7306067635,10488.1328741133,16132.6058429852
"453",13325.3405560058,11468.8464279448,15181.8346840669,10486.0778011252,16164.6033108864
"454",13340.3117534624,11472.7511095638,15207.872397361,10484.1242231306,16196.4992837943
"455",13355.2829509191,11476.7209823503,15233.8449194878,10482.2703464229,16228.2955554152
"456",13370.2541483757,11480.7549076066,15259.7533891447,10480.5144295144,16259.993867237
"457",13385.2253458323,11484.8517794036,15285.5989122609,10478.8547810324,16291.5959106322
"458",13400.1965432889,11489.0105232755,15311.3825633023,10477.2897577232,16323.1033288546
"459",13415.1677407455,11493.2300949806,15337.1053865105,10475.817762557,16354.517718934
"460",13430.1389382021,11497.5094793243,15362.76839708,10474.4372429278,16385.8406334765
"461",13445.1101356588,11501.8476890406,15388.3725822769,10473.1466889423,16417.0735823752
"462",13460.0813331154,11506.2437637278,15413.9189025029,10471.9446317931,16448.2180344377
"463",13475.052530572,11510.6967688363,15439.4082923077,10470.8296422097,16479.2754189343
"464",13490.0237280286,11515.2057947046,15464.8416613526,10469.8003289849,16510.2471270723
"465",13504.9949254852,11519.7699556413,15490.2198953292,10468.8553375707,16541.1345133997
"466",13519.9661229418,11524.3883890498,15515.5438568339,10467.9933487395,16571.9388971442
"467",13534.9373203985,11529.0602545941,15540.8143862028,10467.2130773083,16602.6615634886
"468",13549.9085178551,11533.7847334029,15566.0323023072,10466.5132709213,16633.3037647889
"469",13564.8797153117,11538.5610273093,15591.198403314,10465.8927088877,16663.8667217357
"470",13579.8509127683,11543.3883581257,15616.3134674109,10465.3502010722,16694.3516244644
"471",13594.8221102249,11548.2659669502,15641.3782534996,10464.8845868347,16724.7596336152
"472",13609.7933076815,11553.1931135044,15666.3935018586,10464.4947340168,16755.0918813462
"473",13624.7645051382,11558.1690754995,15691.3599347768,10464.1795379734,16785.3494723029
"474",13639.7357025948,11563.1931480303,15716.2782571592,10463.9379206447,16815.5334845448
"475",13654.7069000514,11568.2646429949,15741.1491571079,10463.76882967,16845.6449704328
"476",13669.678097508,11573.3828885394,15765.9733064766,10463.6712375371,16875.6849574789
"477",13684.6492949646,11578.5472285256,15790.7513614037,10463.6441407696,16905.6544491597
"478",13699.6204924212,11583.7570220213,15815.4839628211,10463.686559146,16935.5544256964
"479",13714.5916898778,11589.0116428115,15840.1717369442,10463.7975349531,16965.3858448026
"480",13729.5628873345,11594.3104789292,15864.8152957397,10463.9761322683,16995.1496424006
"481",13744.5340847911,11599.6529322061,15889.4152373761,10464.221436272,17024.8467333102
"482",13759.5052822477,11605.0384178406,15913.9721466548,10464.5325525874,17054.478011908
"483",13774.4764797043,11610.4663639835,15938.4865954252,10464.9086066466,17084.044352762
"484",13789.4476771609,11615.9362113398,15962.9591429821,10465.3487430817,17113.5466112401
"485",13804.4188746175,11621.4474127862,15987.3903364489,10465.85212514,17142.9856240951
"486",13819.3900720742,11626.9994330037,16011.7807111447,10466.4179341213,17172.362210027
"487",13834.3612695308,11632.5917481236,16036.130790938,10467.0453688379,17201.6771702236
"488",13849.3324669874,11638.2238453879,16060.4410885869,10467.7336450942,17230.9312888806
"489",13864.303664444,11643.8952228222,16084.7121060659,10468.4819951863,17260.1253337018
"490",13879.2748619006,11649.6053889205,16108.9443348808,10469.2896674209,17289.2600563804
"491",13894.2460593572,11655.3538623425,16133.138256372,10470.1559256514,17318.3361930631
"492",13909.2172568139,11661.1401716214,16157.2943420063,10471.0800488315,17347.3544647962
"493",13924.1884542705,11666.9638548827,16181.4130536582,10472.0613305852,17376.3155779558
"494",13939.1596517271,11672.8244595732,16205.494843881,10473.0990787921,17405.2202246621
"495",13954.1308491837,11678.7215421998,16229.5401561676,10474.192615188,17434.0690831794
"496",13969.1020466403,11684.6546680774,16253.5494252032,10475.3412749795,17462.8628183011
"497",13984.0732440969,11690.6234110862,16277.5230771077,10476.5444064725,17491.6020817213
"498",13999.0444415536,11696.6273534371,16301.46152967,10477.8013707137,17520.2875123934
"499",14014.0156390102,11702.6660854453,16325.3651925751,10479.1115411444,17548.919736876
"500",14028.9868364668,11708.7392053122,16349.2344676214,10480.4743032666,17577.499369667
"501",14043.9580339234,11714.8463189144,16373.0697489325,10481.8890543204,17606.0270135264
"502",14058.92923138,11720.9870395998,16396.8714231603,10483.3552029727,17634.5032597873
"503",14073.9004288366,11727.1609879911,16420.6398696822,10484.872169016,17662.9286886573
"504",14088.8716262933,11733.3677917954,16444.3754607911,10486.4393830773,17691.3038695093
