"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"478",11847.7621421466,9828.74287375712,13866.781410536,8759.9386346671,14935.585649626
"479",11847.7621421466,9819.8269713806,13875.6973129125,8746.30293867368,14949.2213456195
"480",11847.7621421466,9810.95009693196,13884.5741873612,8732.72693074518,14962.797353548
"481",11847.7621421466,9802.11174233895,13893.4125419542,8719.20983385215,14976.314450441
"482",11847.7621421466,9793.31141045822,13902.2128738349,8705.75088767942,14989.7733966137
"483",11847.7621421466,9784.54861474895,13910.9756695442,8692.34934812705,15003.1749361661
"484",11847.7621421466,9775.822878959,13919.7014053341,8679.00448683023,15016.5197974629
"485",11847.7621421466,9767.13373682284,13928.3905474703,8665.71559069737,15029.8086935958
"486",11847.7621421466,9758.48073177081,13937.0435525223,8652.48196146545,15043.0423228277
"487",11847.7621421466,9749.86341664921,13945.6608676439,8639.30291527186,15056.2213690213
"488",11847.7621421466,9741.28135345061,13954.2429308425,8626.17778224207,15069.3465020511
"489",11847.7621421466,9732.73411305407,13962.7901712391,8613.10590609225,15082.4183782009
"490",11847.7621421466,9724.2212749748,13971.3030093183,8600.08664374637,15095.4376405468
"491",11847.7621421466,9715.74242712273,13979.7818571704,8587.11936496707,15108.4049193261
"492",11847.7621421466,9707.29716556973,13988.2271187234,8574.20345199961,15121.3208322935
"493",11847.7621421466,9698.88509432513,13996.639189968,8561.33829922848,15134.1859850647
"494",11847.7621421466,9690.50582511896,14005.0184591742,8548.52331284603,15147.0009714471
"495",11847.7621421466,9682.15897719292,14013.3653071002,8535.75791053269,15159.7663737605
"496",11847.7621421466,9673.84417709844,14021.6801071947,8523.04152114816,15172.482763145
"497",11847.7621421466,9665.56105850173,14029.9632257914,8510.37358443323,15185.1506998599
"498",11847.7621421466,9657.30926199543,14038.2150222977,8497.7535507218,15197.7707335713
"499",11847.7621421466,9649.08843491665,14046.4358493765,8485.18088066253,15210.3434036306
"500",11847.7621421466,9640.89823117111,14054.626053122,8472.65504494988,15222.8692393433
"501",11847.7621421466,9632.73831106312,14062.78597323,8460.17552406412,15235.348760229
"502",11847.7621421466,9624.60834113114,14070.915943162,8447.74180801985,15247.7824762733
"503",11847.7621421466,9616.50799398884,14079.0162903043,8435.35339612288,15260.1708881703
"504",11847.7621421466,9608.4369481712,14087.0873361219,8423.00979673488,15272.5144875583
"505",11847.7621421466,9600.39488798571,14095.1293963074,8410.71052704582,15284.8137572473
"506",11847.7621421466,9592.38150336821,14103.1427809249,8398.45511285351,15297.0691714396
"507",11847.7621421466,9584.3964897435,14111.1277945497,8386.24308835034,15309.2811959428
"508",11847.7621421466,9576.43954789015,14119.084736403,8374.07399591665,15321.4502883765
"509",11847.7621421466,9568.51038380976,14127.0139004834,8361.94738592069,15333.5768983725
"510",11847.7621421466,9560.60870860015,14134.915575693,8349.8628165247,15345.6614677684
"511",11847.7621421466,9552.73423833257,14142.7900459606,8337.81985349712,15357.704430796
"512",11847.7621421466,9544.88669393261,14150.6375903605,8325.81807003049,15369.7062142627
"513",11847.7621421466,9537.06580106487,14158.4584832283,8313.85704656499,15381.6672377282
"514",11847.7621421466,9529.27129002097,14166.2529942722,8301.93637061728,15393.5879136759
"515",11847.7621421466,9521.50289561109,14174.0213886821,8290.05563661451,15405.4686476786
"516",11847.7621421466,9513.76035705866,14181.7639272345,8278.21444573334,15417.3098385598
"517",11847.7621421466,9506.04341789823,14189.4808663949,8266.41240574371,15429.1118785494
"518",11847.7621421466,9498.35182587634,14197.1724584168,8254.64913085724,15440.8751534359
"519",11847.7621421466,9490.6853328553,14204.8389514379,8242.92424158009,15452.6000427131
"520",11847.7621421466,9483.0436947198,14212.4805895733,8231.23736457012,15464.286919723
"521",11847.7621421466,9475.42667128622,14220.0976130069,8219.58813249816,15475.936151795
"522",11847.7621421466,9467.83402621451,14227.6902580786,8207.9761839133,15487.5481003798
